
rm -rf ./cmake/*

04-21 14:40:21.621 352642 352642 [I] watch_file: read length: 48
04-21 14:40:21.626 352642 352642 [I] watch_file: wd: 1, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:21.627 352642 352642 [I] watch_file: 
04-21 14:40:21.628 352642 352642 [I] watch_file: read length: 3920
04-21 14:40:21.629 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:21.630 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:21.631 352642 352642 [I] watch_file: wd: 1, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:21.632 352642 352642 [I] watch_file: wd: 3, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: build
04-21 14:40:21.633 352642 352642 [I] watch_file: wd: 3, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: build
04-21 14:40:21.634 352642 352642 [I] watch_file: wd: 3, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: build
04-21 14:40:21.636 352642 352642 [I] watch_file: wd: 3, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: build
04-21 14:40:21.637 352642 352642 [I] watch_file: wd: 3, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: build
04-21 14:40:21.638 352642 352642 [I] watch_file: wd: 3, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: build
04-21 14:40:21.639 352642 352642 [I] watch_file: wd: 4, mask: 0x200(IN_DELETE), cookie: 0, len: 16, name: CMakeCache.txt
04-21 14:40:21.640 352642 352642 [I] watch_file: wd: 4, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: CMakeFiles
04-21 14:40:21.641 352642 352642 [I] watch_file: wd: 4, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: CMakeFiles
04-21 14:40:21.642 352642 352642 [I] watch_file: wd: 4, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: CMakeFiles
04-21 14:40:21.643 352642 352642 [I] watch_file: wd: 4, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: CMakeFiles
04-21 14:40:21.644 352642 352642 [I] watch_file: wd: 4, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: CMakeFiles
04-21 14:40:21.645 352642 352642 [I] watch_file: wd: 4, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: CMakeFiles
04-21 14:40:21.646 352642 352642 [I] watch_file: wd: 5, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: 3.16.3
04-21 14:40:21.647 352642 352642 [I] watch_file: wd: 5, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: 3.16.3
04-21 14:40:21.648 352642 352642 [I] watch_file: wd: 5, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: 3.16.3
04-21 14:40:21.649 352642 352642 [I] watch_file: wd: 5, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: 3.16.3
04-21 14:40:21.650 352642 352642 [I] watch_file: wd: 5, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: 3.16.3
04-21 14:40:21.651 352642 352642 [I] watch_file: wd: 5, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: 3.16.3
04-21 14:40:21.652 352642 352642 [I] watch_file: wd: 6, mask: 0x200(IN_DELETE), cookie: 0, len: 48, name: CMakeDetermineCompilerABI_CXX.bin
04-21 14:40:21.653 352642 352642 [I] watch_file: wd: 6, mask: 0x200(IN_DELETE), cookie: 0, len: 32, name: CMakeSystem.cmake
04-21 14:40:21.655 352642 352642 [I] watch_file: wd: 6, mask: 0x200(IN_DELETE), cookie: 0, len: 32, name: CMakeCXXCompiler.cmake
04-21 14:40:21.656 352642 352642 [I] watch_file: wd: 6, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: CompilerIdC
